restaurant_name,address,phone_number,reviews_count,reviews_average,type,cuisine,meta_code_com,meta_code_dep,meta_geo_point_lat,meta_geo_point_lon,vegan,vegetarian
crudus,"21 Rue Saint-Roch, 75001 Paris",01 42 60 90 29,43,3.6,restaurant,italian,75101,75,48.8655425216099,2.33225605090155,0,0
caepus,"17 Rue Duphot, 75001 Paris",01 42 60 97 98,99,3.7,restaurant,,75101,75,48.8683025985059,2.32568313007093,0,0
judy,"14 Rue Jean-Jacques Rousseau, 75001 Paris",01 42 33 63 83,239,4.5,restaurant,organic,75101,75,48.8624515271766,2.34053267737119,0,0
tao,"6 Rue St Denis, 75001 Paris",01 45 08 88 88,859,4.3,restaurant,asian,75101,75,48.8583595658663,2.34756987181859,0,0
fellini,"47 Rue de l'Arbre Sec, 75001 Paris",01 42 60 90 66,261,4.3,restaurant,italian,75101,75,48.8612229916285,2.34237745044067,0,0
poppy,"10 Rue Coquillière, 75001 Paris",01 89 40 27 28,289,4.6,restaurant,,75101,75,48.8635889514373,2.34347262990931,0,0
mee,"5 Rue d'Argenteuil, 75001 Paris",01 42 86 11 85,1267,4.3,restaurant,korean,75101,75,48.8644649441379,2.33394944679969,0,0
kadoya,"28 Rue Sainte-Anne, 75001 Paris",01 49 26 09 82,1722,3.7,restaurant,japanese,75101,75,48.8662619403593,2.33560604614291,0,0
loup,"44, rue du Louvre Angle, Rue Coquillière, 75001 Paris",01 42 36 73 23,1862,4.2,restaurant,french,75101,75,48.863934369667,2.34259697248479,0,0
guli,"34 Rue du Mont Thabor, 75001 Paris",09 71 50 94 24,372,4.9,restaurant,chinese,75101,75,48.8664307518892,2.32662232232153,0,0
tarboush,"14 Rue de la Cossonnerie, 75001 Paris",,799,4.6,restaurant,kebab,75101,75,48.8616508877855,2.34835827363108,0,0
madame rêve café,"48 Rue du Louvre, 75001 Paris",,618,4.2,restaurant,,75101,75,48.8645247909266,2.34307004709987,0,0
la fontaine d'italie,"23 Rue Molière, 75001 Paris",01 47 03 95 72,515,4.4,restaurant,pizza,75101,75,48.8654710239758,2.33632873383453,0,0
petit crème,"28 Rue Montorgueil, 75001 Paris",01 42 33 36 19,1320,4.6,restaurant,french,75101,75,48.8637099861191,2.34654736345044,0,0
presto fresco,"14 Rue Montmartre, 75001 Paris",01 40 26 83 94,7818,4.4,restaurant,"italian, pizza",75101,75,48.8638345412002,2.34576566716049,0,0
l'étoile de rivoli,"158 Rue de Rivoli, 75001 Paris",01 40 28 92 75,128,3.6,restaurant,chinese,75101,75,48.8612842633407,2.34014643927296,0,0
le cochon à l'oreille,"15 Rue Montmartre, 75001 Paris",01 40 15 98 24,618,4.4,restaurant,french,75101,75,48.8644515330928,2.3451743238916,0,0
le zinc de clovis,"8 Rue des Prouvaires, 75001 Paris",07 52 02 91 33,108,4.5,restaurant,seafood,75101,75,48.861456679089,2.34425809805569,0,0
caffe dei fratelli,"10 Rue des Pyramides, 75001 Paris",01 72 60 73 81,1162,4.2,restaurant,"italian, pizza, pasta",75101,75,48.8648199177373,2.33306398254842,0,0
villalys,"30 Rue de Montpensier, 75001 Paris",01 42 61 85 99,346,3.7,restaurant,french,75101,75,48.8654444533428,2.33732986834957,0,0
feu,"54 Rue de l'Arbre Sec, 75001 Paris",01 42 33 50 00,92,4.4,restaurant,,75101,75,48.8610648251156,2.34261725669046,0,0
ryo,"7 Rue des Moulins, 75001 Paris",01 40 20 91 86,493,4.5,restaurant,"japanese, sushi",75101,75,48.866984795689,2.33506147389372,0,0
udon jubey,"39 Rue Sainte-Anne, 75001 Paris",01 40 15 92 54,1764,4.2,restaurant,,75101,75,48.8664589989029,2.33550957043738,0,0
bistrot pyramide,"20 Rue des Pyramides, 75001 Paris",01 42 60 47 66,385,4.0,restaurant,,75101,75,48.865822728633,2.33383947623005,0,0
victoria,"12 Rue de Presbourg, 75116 Paris",01 44 17 97 72,884,3.6,restaurant,,75101,75,48.8635916336463,2.34651869734159,0,0
l'esplanade saint-eustache,"1 R. de Turbigo, 75001 Paris",01 45 08 53 03,668,3.9,restaurant,,75101,75,48.8634031246439,2.34647988912991,0,0
le relais du louvre,"3 Rue du Louvre, 75001 Paris",09 66 44 96 97,960,4.6,restaurant,,75101,75,48.86159162773,2.34095286217729,0,0
el vecino,"254 Rue Saint-Honoré, 75001 Paris",01 42 60 30 21,636,4.2,restaurant,mexican,75101,75,48.8640621936904,2.33398096275562,0,0
cibus,"5 Rue Molière, 75001 Paris",01 42 61 50 19,61,4.4,restaurant,italian,75101,75,48.86485344535,2.33551635977895,0,0
la famille heureuse,"33 Rue Berger, 75001 Paris",09 72 88 33 60,42,4.3,restaurant,chinese,75101,75,48.8617503809761,2.34399314609638,0,0
dong né chicken,"51 Rue de Richelieu, 75001 Paris",01 42 33 79 37,735,4.4,restaurant,korean,75101,75,48.8664933647059,2.33718025137793,0,0
zango les halles,"15 Rue du Cygne, 75001 Paris",01 40 26 27 27,1535,4.2,restaurant,,75101,75,48.8633231612876,2.3484967426715,0,0
molly,"43 Rue de l'Arbre Sec, 75001 Paris",06 16 64 45 64,117,4.5,restaurant,asian,75101,75,48.8611437826435,2.3423997463031,0,0
chez denise,"5 Rue des Prouvaires, 75001 Paris",01 42 36 21 82,2029,4.3,restaurant,french,75101,75,48.8615238181334,2.34408903506869,0,0
mei ko,"27 Rue du Bouloi, 75001 Paris",01 40 26 15 78,52,3.6,restaurant,japanese,75101,75,48.8640379699902,2.34153557208592,0,0
café qj,"4 Pl. du Louvre, 75001 Paris",09 74 64 00 03,138,4.8,restaurant,,75101,75,48.8599373753197,2.34108948719901,0,0
au père tranquille,"16 Rue Pierre Lescot, 75001 Paris",01 45 08 00 34,3883,3.8,restaurant,,75101,75,48.8621979746056,2.34854879429022,0,0
